Number,Kind of box,Date installed,2022,2023,GPS ,Lat,Long
nk1,Tawny Owl,26/02/2022,,,52.2488 0.1175,0.1175,52.2488
nk2,Kestrel,02/04/2022,,,52.2559 0.0938,0.0938,52.2559
1,Tit box,26/02/2022,Nest,Nest,52.2490 0.1175,0.1175,52.2490
2,Robin,26/02/2022,No nest,No nest,52.2491 0.1176,0.1176,52.2491
3,Tit box,26/02/2022,Nest,Nest (1 unhatched egg),52.2481 0.1214,0.1214,52.2481
4,Robin,26/02/2022,No nest,No nest,52.2481 0.1212,0.1212,52.2481
5,Tit box,26/02/2022,Nest,Nest,52.2490 0.1099,0.1099,52.2490
6,Tit box,26/02/2022,Nest,Nest,52.2488 0.1098,0.1098,52.2488
7,Robin,26/02/2022,Roosting,Roosting,52.2484 0.1097,0.1097,52.2484
8,Tit box,26/02/2022,Nest (partial),Nest,52.2484 0.1098,0.1098,52.2484
9,Wren/Robin Box,26/02/2022,No nest,No nest,52.2484 0.1107,0.1107,52.2484
10,Tit box,01/05/2022,N/A,Nest (1 unhatched egg),52.2422 0.1125,0.1125,52.2422
11,Robin,01/05/2022,N/A,No nest,52.2427 0.1116,0.1116,52.2427
12,Robin,01/05/2022,N/A,No nest,52.2420 0.1126,0.1126,52.2420
13,Tit box,01/05/2022,N/A,Nest,52.2428 0.1120,0.1120,52.2428
14,Tit box,05/11/2022,N/A,Nest + roosting,52.2371 0.1107,0.1107,52.2371
15,Robin,05/11/2022,N/A,No nest,52.2372 0.1109,0.1109,52.2372
16,Robin,05/11/2022,N/A,No nest,52.2372 0.1107,0.1107,52.2372
17,Tit box,05/11/2022,N/A,No nest,52.2372 0.1106,0.1106,52.2372
18,Tit box,27/02/2022,Nest,Nest + roosting,52.2593 0.1013,0.1013,52.2593
19,Robin,27/02/2022,Roosting,Roosting,52.2596 0.1001,0.1001,52.2596
20,Robin,27/02/2022,No nest,No nest,52.2581 0.0996,0.0996,52.2581
21,Robin,27/02/2022,Roosting,No nest,52.2587 0.1022,0.1022,52.2587
22,Tit box,27/02/2022,Nest,Nest,52.2588 0.1020,0.1020,52.2588
23,Tit box,05/11/2022,N/A,Nest,52.2360 0.1144,0.1144,52.2360
24,Robin,05/11/2022,N/A,No nest,52.2362 0.1143,0.1143,52.2362
25,Treecreeper,12/03/2022,Roosting,No nest,52.2480 0.1100,0.1100,52.2480
26,Treecreeper,13/03/2022,No nest,No nest,52.2578 0.1010,0.1010,52.2578
27,Starling box,12/03/2022,Nest,Nest,52.2484 0.1211,0.1211,52.2484
28,Starling box,13/03/2022,Nest (partial) + roosting,Nest,52.2490 0.1104,0.1104,52.2490
29,Starling box,09/05/2022,Roosting,Nest,52.2588 0.1024,0.1024,52.2588
30,Starling box,19/03/2022,Nest,Nest + roosting,52.2548 0.0944,0.0944,52.2548
31,Starling box,01/05/2022,N/A,No nest,52.2433 0.1117,0.1117,52.2433
32,Starling box,30/10/2022,N/A,Nest + roosting,52.2442 0.1135,0.1135,52.2442
33,Starling box,29/04/2023,N/A,Roosting,52.2384 0.1131,0.1131,52.2384
34,Tit box,19/03/2022,Roosting,No nest,52.2544 0.0958,0.0958,52.2544
35,Tit box,30/10/2022,N/A,Nest,52.2536 0.1109,0.1109,52.2536
36,Tit box,30/10/2022,N/A,No nest,52.2401 0.1056,0.1056,52.2401
37,Wren/Robin Box,02/04/2022,No nest,No nest,52.2560 0.0935,0.0935,52.2560
38,Robin,19/03/2022,No nest,No nest,52.2561 0.0936,0.0936,52.2561
39,Robin,30/10/2022,N/A,No nest,52.2536 0.1118,0.1118,52.2536
40,Robin,30/10/2022,N/A,No nest,52.2521 0.0973,0.0973,52.2521
41,Robin,30/10/2022,N/A,No nest,52.2512 0.0964,0.0964,52.2512
42,Robin,05/11/2022,N/A,No nest,52.2444 0.1130,0.1130,52.2444
43,Robin,05/11/2022,N/A,No nest,52.2467 0.1141,0.1141,52.2467
44,Robin,05/11/2022,N/A,Roosting,52.2368 0.1142,0.1142,52.2368

